prompt,noise0,noise1,noise2,noise3,noise4,noise5,noise6,noise7,noise8,noise9,noise10,noise11,noise12,noise13,noise14,noise15,noise16,noise17,noise18,noise19,noise20,noise21,noise22,noise23,noise24,noise25,noise26,noise27,noise28,noise29,noise30,noise31,noise32,noise33,noise34,noise35,noise36,noise37,noise38,noise39,noise40,noise41,noise42,noise43,noise44,noise45,noise46,noise47,noise48,noise49
cursed images ,3.4950222969055176,4.609587669372559,4.548516750335693,4.609282970428467,4.656240463256836,4.630502223968506,4.538995742797852,4.465005397796631,4.533075332641602,4.546945095062256,4.613386631011963,4.807871341705322,4.728303909301758,4.634783744812012,4.795999526977539,4.648421287536621,4.744200706481934,4.801909923553467,4.9862189292907715,4.674404144287109,4.894999027252197,4.803818702697754,5.184176921844482,4.940593719482422,4.493627548217773,5.372861862182617,4.768247604370117,4.836602687835693,4.797173976898193,5.090916633605957,5.133199691772461,4.872152805328369,5.721278190612793,5.226850509643555,5.6415557861328125,5.654457092285156,5.400162696838379,5.60184907913208,5.234454154968262,4.908749580383301,4.747127532958984,4.602149486541748,4.53232479095459,4.557906150817871,4.775944232940674,5.0439934730529785,4.1817779541015625,4.231825828552246,4.598175525665283,4.491543292999268
"Shrek, horror, cursed images, spooky",4.56148099899292,4.895566940307617,4.696617126464844,4.819155216217041,4.8663330078125,4.841192245483398,4.82590913772583,4.8786091804504395,4.8761091232299805,4.767663955688477,4.844858646392822,4.6929707527160645,4.652295112609863,4.681540489196777,4.714550971984863,4.6297736167907715,4.592456817626953,4.46746301651001,4.508845329284668,4.763706684112549,4.607428550720215,4.720021724700928,4.663766860961914,4.5702033042907715,4.54080057144165,4.813713550567627,4.737562656402588,5.019360542297363,4.726916790008545,4.848775863647461,5.020528793334961,4.843040943145752,5.034049034118652,5.051782608032227,5.024763584136963,4.7991943359375,4.62010383605957,4.356313228607178,4.3490986824035645,4.512732982635498,4.213392734527588,4.713589191436768,4.490365028381348,4.63128137588501,4.197063446044922,4.498479843139648,4.4623823165893555,4.341323375701904,4.317967414855957,3.8347058296203613
intricate maze linework highly detailed optical illusion escher,5.324660778045654,4.983992099761963,5.042685508728027,5.15670108795166,4.8225016593933105,4.929139137268066,5.066937446594238,5.092217445373535,5.235538959503174,4.700415134429932,4.919958114624023,4.933534622192383,5.032681941986084,5.0317463874816895,4.905118942260742,4.776421070098877,4.771576404571533,4.599177360534668,4.5772881507873535,4.736264705657959,4.828768253326416,4.644041538238525,4.709615230560303,4.72588586807251,4.640695095062256,4.627435207366943,4.696922779083252,4.4717793464660645,4.512390613555908,4.527279853820801,4.660932540893555,5.303202152252197,4.800985813140869,4.685370445251465,5.15181827545166,5.151247501373291,5.034669399261475,5.207070350646973,4.98727560043335,5.2159600257873535,4.986351490020752,4.954535484313965,4.975162029266357,4.8910346031188965,4.7933454513549805,4.44144868850708,4.366605281829834,4.6124958992004395,4.779078483581543,4.751100540161133
dystopian cyberpunk mcdonald dictatorship,6.048541069030762,5.062836647033691,4.891444206237793,5.038234233856201,5.115380764007568,4.780451774597168,4.735471725463867,4.936642646789551,4.942376136779785,4.6327805519104,4.687380313873291,4.734377861022949,5.150717258453369,5.450422763824463,5.068727493286133,5.29315185546875,5.20633602142334,5.182893753051758,5.2783355712890625,5.40806770324707,5.580747604370117,5.293017864227295,5.161350727081299,4.8906779289245605,4.572531700134277,4.243701934814453,4.323089122772217,4.454288959503174,4.884385585784912,5.311365127563477,5.021900653839111,4.592324256896973,4.240485668182373,4.748308181762695,4.810513019561768,4.501003265380859,4.319199085235596,4.382512092590332,4.103350639343262,4.775534629821777,4.903108596801758,4.661240577697754,4.8028717041015625,4.51178503036499,4.25570011138916,3.6628475189208984,3.9599685668945312,4.332493305206299,4.082398891448975,3.748262405395508
😏 Shrek,5.347574710845947,5.036391258239746,5.075024604797363,5.06812858581543,5.036428451538086,5.120898246765137,5.157287120819092,5.12570858001709,5.117504119873047,5.147226810455322,5.2101616859436035,5.054455757141113,5.0655646324157715,4.994002819061279,4.999204635620117,4.986137390136719,5.042173862457275,5.130667686462402,5.061508655548096,5.135994911193848,5.028046607971191,4.909062385559082,5.346315383911133,5.293039321899414,5.117934226989746,5.118340969085693,5.142436981201172,5.215012550354004,5.144448757171631,5.109190940856934,5.3120951652526855,4.7731499671936035,4.916267395019531,5.255005836486816,4.602505207061768,4.615599155426025,4.748902320861816,4.432020664215088,4.6479620933532715,4.401325225830078,3.9901070594787598,4.173116683959961,4.008081436157227,3.9360384941101074,4.243170738220215,4.006341457366943,4.130937099456787,4.0125885009765625,4.534968376159668,3.5619559288024902
elon's musk ,5.005913734436035,5.312351226806641,5.320772647857666,5.172706127166748,5.357517719268799,5.278853893280029,5.146143436431885,5.236830711364746,4.6623735427856445,4.725374221801758,4.89236307144165,5.030699253082275,5.082017421722412,5.147493362426758,4.9834794998168945,5.1004815101623535,4.640897274017334,4.701575756072998,4.409239292144775,4.194917678833008,4.424741744995117,4.772482872009277,4.527270793914795,4.964291572570801,4.708644390106201,4.766543865203857,4.42922306060791,4.904333591461182,4.815298080444336,4.8614420890808105,4.9316840171813965,4.402523994445801,4.103973388671875,4.677736282348633,4.273336887359619,4.955320835113525,5.0199503898620605,4.997819900512695,5.2140984535217285,4.2263312339782715,5.380539417266846,4.3725361824035645,4.541706085205078,4.498228073120117,4.189082622528076,4.042529106140137,3.914842128753662,3.590425491333008,3.9546022415161133,3.757533550262451
"facial portrait of putin is a monster, movie poster in the style of ( ( ( ( drew struzan ) ) ) ) ",5.6541876792907715,5.070452690124512,5.118986129760742,5.148289203643799,5.258162975311279,5.226351737976074,5.232162952423096,5.247298717498779,5.2451395988464355,5.299743175506592,5.368837833404541,5.391581058502197,5.297624111175537,5.062658786773682,4.988916397094727,5.1065354347229,5.073343276977539,5.250072002410889,5.2917680740356445,5.211803436279297,5.006598949432373,4.734305381774902,4.766721725463867,5.126321315765381,5.103911399841309,5.102608680725098,5.129875659942627,4.890846252441406,5.080835819244385,4.944437026977539,4.487161159515381,4.7473554611206055,4.117650985717773,4.578718185424805,3.383319854736328,3.5163469314575195,3.595400333404541,3.167099952697754,3.6540956497192383,3.870704174041748,4.365719795227051,4.555870532989502,4.21339750289917,5.095513343811035,4.912080764770508,4.654965877532959,4.760480880737305,5.042666435241699,4.861791610717773,3.9859871864318848
"president of belorussia, alexander lukashenko in style of sailor moon, anime, perfect faces, fine details",5.321323871612549,5.205250263214111,5.434544086456299,5.438023567199707,5.417598247528076,5.570455551147461,5.589953422546387,5.560751914978027,5.554399013519287,5.580254077911377,5.568938255310059,5.440016269683838,5.388668537139893,5.588387966156006,5.551136493682861,5.526124954223633,5.720080375671387,5.2316365242004395,5.3199567794799805,5.4225969314575195,5.360014915466309,4.995526313781738,4.927083492279053,5.180240631103516,4.355002403259277,4.575239658355713,4.378025531768799,4.428749084472656,5.066145896911621,4.812830924987793,4.756269931793213,4.39621639251709,4.716977119445801,4.8433451652526855,4.5772786140441895,4.445568561553955,4.275825023651123,5.319544792175293,4.895222187042236,4.5975236892700195,4.242434501647949,4.961452960968018,4.648383617401123,4.804153919219971,4.224375247955322,4.207878589630127,3.917449474334717,4.337802886962891,3.6675777435302734,3.8602614402770996
"beautiful studio photograph of colorful postmodern portrait sculpture of adam sandler smiling, beautiful symmetrical face accurate face detailed face realistic proportions, made of watercolor - painted plaster on a pedestal by ron mueck and matthew barney and greg rutkowski, hysterical realism intense cinematic lighting shocking detail 8 k ",5.407622814178467,5.400182723999023,5.408975601196289,5.401419639587402,5.304193019866943,5.301260471343994,5.341780662536621,5.350714683532715,5.4095635414123535,5.442383766174316,5.450492858886719,5.414172172546387,5.381406307220459,5.332708835601807,5.1772003173828125,5.167204856872559,5.132686138153076,5.168793678283691,5.408843517303467,5.294811248779297,5.301853656768799,5.201652526855469,5.142107009887695,5.039350986480713,5.071070671081543,5.17321252822876,5.107043266296387,5.086816787719727,4.776291847229004,4.62534236907959,4.846408367156982,4.621857643127441,4.6111273765563965,4.611982345581055,4.840165615081787,4.529178619384766,5.659284591674805,5.629893779754639,5.11975622177124,4.719679832458496,5.003892421722412,5.304253101348877,4.8177361488342285,4.694156646728516,4.649071216583252,4.610346794128418,4.820470809936523,4.139832019805908,5.275440692901611,5.207048416137695
"a portrait of an overwhelmed young man in a painting from stalenhag, 4 k, 8 k, hdr, artstation, concept art ",6.769043445587158,6.436356067657471,6.111620903015137,5.941067218780518,5.9804582595825195,6.235108375549316,6.39407205581665,6.477204322814941,6.453715801239014,6.449876308441162,6.551832675933838,6.7276930809021,6.740612030029297,6.720808029174805,6.7377824783325195,6.793337821960449,6.517550945281982,6.717257499694824,6.831404209136963,6.922412872314453,6.727328777313232,6.718811988830566,6.416139125823975,6.719339370727539,6.577305316925049,6.473649978637695,6.609079360961914,6.16912317276001,5.571653366088867,5.870782375335693,5.369256496429443,6.145569801330566,5.438780307769775,5.521972179412842,5.14888858795166,4.942246437072754,4.551145076751709,4.314403057098389,3.962256908416748,4.385293006896973,4.594972610473633,4.545785427093506,4.323146343231201,4.285646438598633,4.266138076782227,4.2166829109191895,3.7020459175109863,4.392626762390137,4.474822521209717,4.597255706787109
